item_id,title,category_id,brand,price,item_code,image_url,description
p0001,Sony Gaming Slim 2020,console,Sony,36020,100001,https://via.placeholder.com/300x200.png?text=Sony+console,"2020 Sony console - Sony Gaming Slim 2020. Approx. price ₹36020. Ideal for users looking for a modern console with good performance, released between 2020 and 2025."
p0002,Apple Slim 2020 (44),laptops,Apple,38470,100002,https://via.placeholder.com/300x200.png?text=Apple+laptops,"2020 Apple laptops - Apple Slim 2020 (44). Approx. price ₹38470. Ideal for users looking for a modern laptops with good performance, released between 2020 and 2025."
p0003,boAt Wireless Headphones 6,headphones,boAt,6430,100003,https://via.placeholder.com/300x200.png?text=boAt+headphones,"2020 boAt headphones - boAt Wireless Headphones 6. Approx. price ₹6430. Ideal for users looking for a modern headphones with good performance, released between 2020 and 2025."
p0004,JBL Bar Speaker 13,speaker,JBL,12410,100004,https://via.placeholder.com/300x200.png?text=JBL+speaker,"2024 JBL speaker - JBL Bar Speaker 13. Approx. price ₹12410. Ideal for users looking for a modern speaker with good performance, released between 2020 and 2025."
p0005,Sony Boom Speaker 49,speaker,Sony,31710,100005,https://via.placeholder.com/300x200.png?text=Sony+speaker,"2020 Sony speaker - Sony Boom Speaker 49. Approx. price ₹31710. Ideal for users looking for a modern speaker with good performance, released between 2020 and 2025."
p0006,Sony LED TV 2021 (14),tv,Sony,40580,100006,https://via.placeholder.com/300x200.png?text=Sony+tv,"2021 Sony tv - Sony LED TV 2021 (14). Approx. price ₹40580. Ideal for users looking for a modern tv with good performance, released between 2020 and 2025."
p0007,boAt ANC Headphones 55,headphones,boAt,16640,100007,https://via.placeholder.com/300x200.png?text=boAt+headphones,"2022 boAt headphones - boAt ANC Headphones 55. Approx. price ₹16640. Ideal for users looking for a modern headphones with good performance, released between 2020 and 2025."
p0008,Oppo Ultra 2024 (8),phones,Oppo,16770,100008,https://via.placeholder.com/300x200.png?text=Oppo+phones,"2024 Oppo phones - Oppo Ultra 2024 (8). Approx. price ₹16770. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0009,OnePlus LED TV 2024 (57),tv,OnePlus,174780,100009,https://via.placeholder.com/300x200.png?text=OnePlus+tv,"2024 OnePlus tv - OnePlus LED TV 2024 (57). Approx. price ₹174780. Ideal for users looking for a modern tv with good performance, released between 2020 and 2025."
p0010,Redmi Max 2025 (15),phones,Redmi,106540,100010,https://via.placeholder.com/300x200.png?text=Redmi+phones,"2025 Redmi phones - Redmi Max 2025 (15). Approx. price ₹106540. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0011,Samsung Plus 2023 (18),tablets,Samsung,68150,100011,https://via.placeholder.com/300x200.png?text=Samsung+tablets,"2023 Samsung tablets - Samsung Plus 2023 (18). Approx. price ₹68150. Ideal for users looking for a modern tablets with good performance, released between 2020 and 2025."
p0012,JBL Wireless Headphones 23,headphones,JBL,18370,100012,https://via.placeholder.com/300x200.png?text=JBL+headphones,"2022 JBL headphones - JBL Wireless Headphones 23. Approx. price ₹18370. Ideal for users looking for a modern headphones with good performance, released between 2020 and 2025."
p0013,Sony Gaming Edition 2024,console,Sony,56880,100013,https://via.placeholder.com/300x200.png?text=Sony+console,"2024 Sony console - Sony Gaming Edition 2024. Approx. price ₹56880. Ideal for users looking for a modern console with good performance, released between 2020 and 2025."
p0014,Lenovo Lite 2023 (25),tablets,Lenovo,99860,100014,https://via.placeholder.com/300x200.png?text=Lenovo+tablets,"2023 Lenovo tablets - Lenovo Lite 2023 (25). Approx. price ₹99860. Ideal for users looking for a modern tablets with good performance, released between 2020 and 2025."
p0015,Nintendo Gaming Digital 2024,console,Nintendo,45920,100015,https://via.placeholder.com/300x200.png?text=Nintendo+console,"2024 Nintendo console - Nintendo Gaming Digital 2024. Approx. price ₹45920. Ideal for users looking for a modern console with good performance, released between 2020 and 2025."
p0016,Realme Max 2020 (52),phones,Realme,40890,100016,https://via.placeholder.com/300x200.png?text=Realme+phones,"2020 Realme phones - Realme Max 2020 (52). Approx. price ₹40890. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0017,Realme Plus 2024 (57),phones,Realme,39210,100017,https://via.placeholder.com/300x200.png?text=Realme+phones,"2024 Realme phones - Realme Plus 2024 (57). Approx. price ₹39210. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0018,Microsoft Gaming Digital 2023,console,Microsoft,51120,100018,https://via.placeholder.com/300x200.png?text=Microsoft+console,"2023 Microsoft console - Microsoft Gaming Digital 2023. Approx. price ₹51120. Ideal for users looking for a modern console with good performance, released between 2020 and 2025."
p0019,Lenovo Lite 2021 (48),tablets,Lenovo,72550,100019,https://via.placeholder.com/300x200.png?text=Lenovo+tablets,"2021 Lenovo tablets - Lenovo Lite 2021 (48). Approx. price ₹72550. Ideal for users looking for a modern tablets with good performance, released between 2020 and 2025."
p0020,Realme Wireless Headphones 24,headphones,Realme,27920,100020,https://via.placeholder.com/300x200.png?text=Realme+headphones,"2023 Realme headphones - Realme Wireless Headphones 24. Approx. price ₹27920. Ideal for users looking for a modern headphones with good performance, released between 2020 and 2025."
p0021,Acer Book 2023 (6),laptops,Acer,177480,100021,https://via.placeholder.com/300x200.png?text=Acer+laptops,"2023 Acer laptops - Acer Book 2023 (6). Approx. price ₹177480. Ideal for users looking for a modern laptops with good performance, released between 2020 and 2025."
p0022,Apple Gaming 2021 (51),laptops,Apple,122140,100022,https://via.placeholder.com/300x200.png?text=Apple+laptops,"2021 Apple laptops - Apple Gaming 2021 (51). Approx. price ₹122140. Ideal for users looking for a modern laptops with good performance, released between 2020 and 2025."
p0023,Skullcandy ANC Headphones 30,headphones,Skullcandy,28180,100023,https://via.placeholder.com/300x200.png?text=Skullcandy+headphones,"2024 Skullcandy headphones - Skullcandy ANC Headphones 30. Approx. price ₹28180. Ideal for users looking for a modern headphones with good performance, released between 2020 and 2025."
p0024,Xiaomi 5G 2025 (57),phones,Xiaomi,83480,100024,https://via.placeholder.com/300x200.png?text=Xiaomi+phones,"2025 Xiaomi phones - Xiaomi 5G 2025 (57). Approx. price ₹83480. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0025,Microsoft Gaming Slim 2020,console,Microsoft,32110,100025,https://via.placeholder.com/300x200.png?text=Microsoft+console,"2020 Microsoft console - Microsoft Gaming Slim 2020. Approx. price ₹32110. Ideal for users looking for a modern console with good performance, released between 2020 and 2025."
p0026,Apple Pro 2024 (49),phones,Apple,57570,100026,https://via.placeholder.com/300x200.png?text=Apple+phones,"2024 Apple phones - Apple Pro 2024 (49). Approx. price ₹57570. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0027,Apple 5G 2025 (33),phones,Apple,29170,100027,https://via.placeholder.com/300x200.png?text=Apple+phones,"2025 Apple phones - Apple 5G 2025 (33). Approx. price ₹29170. Ideal for users looking for a modern phones with good performance, released between 2020 and 2025."
p0028,JBL Bass Headphones 50,headphones,JBL,17740,100028,https://via.placeholder.com/300x200.png?text=JBL+headphones,"2024 JBL headphones - JBL Bass Headphones 50. Approx. price ₹17740. Ideal for users looking for a modern headphones with good performance, released between 2020 and 2025."
