item_id,title,category_id,brand,price,item_code,image_url,description
p30000,iPhone 2020 Model 1,smartphone,iPhone,91810,1020,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 1 - High quality electronic product launched between 2020-2025.
p30001,iPhone 2020 Model 2,smartphone,iPhone,22592,1021,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 2 - High quality electronic product launched between 2020-2025.
p30002,iPhone 2020 Model 3,smartphone,iPhone,11278,1022,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 3 - High quality electronic product launched between 2020-2025.
p30003,iPhone 2020 Model 4,smartphone,iPhone,105196,1023,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 4 - High quality electronic product launched between 2020-2025.
p30004,iPhone 2020 Model 5,smartphone,iPhone,44048,1024,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 5 - High quality electronic product launched between 2020-2025.
p30005,iPhone 2020 Model 6,smartphone,iPhone,40098,1025,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 6 - High quality electronic product launched between 2020-2025.
p30006,iPhone 2020 Model 7,smartphone,iPhone,37256,1026,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 7 - High quality electronic product launched between 2020-2025.
p30007,iPhone 2020 Model 8,smartphone,iPhone,26289,1027,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 8 - High quality electronic product launched between 2020-2025.
p30008,iPhone 2020 Model 9,smartphone,iPhone,104530,1028,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 9 - High quality electronic product launched between 2020-2025.
p30009,iPhone 2020 Model 10,smartphone,iPhone,21434,1029,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 10 - High quality electronic product launched between 2020-2025.
p30010,iPhone 2020 Model 11,smartphone,iPhone,96696,1030,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 11 - High quality electronic product launched between 2020-2025.
p30011,iPhone 2020 Model 12,smartphone,iPhone,105080,1031,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 12 - High quality electronic product launched between 2020-2025.
p30012,iPhone 2020 Model 13,smartphone,iPhone,79482,1032,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 13 - High quality electronic product launched between 2020-2025.
p30013,iPhone 2020 Model 14,smartphone,iPhone,19395,1033,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 14 - High quality electronic product launched between 2020-2025.
p30014,iPhone 2020 Model 15,smartphone,iPhone,85397,1034,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 15 - High quality electronic product launched between 2020-2025.
p30015,iPhone 2020 Model 16,smartphone,iPhone,63302,1035,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 16 - High quality electronic product launched between 2020-2025.
p30016,iPhone 2020 Model 17,smartphone,iPhone,12165,1036,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 17 - High quality electronic product launched between 2020-2025.
p30017,iPhone 2020 Model 18,smartphone,iPhone,11905,1037,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 18 - High quality electronic product launched between 2020-2025.
p30018,iPhone 2020 Model 19,smartphone,iPhone,20280,1038,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 19 - High quality electronic product launched between 2020-2025.
p30019,iPhone 2020 Model 20,smartphone,iPhone,36657,1039,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 20 - High quality electronic product launched between 2020-2025.
p30020,iPhone 2020 Model 21,smartphone,iPhone,38495,1040,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 21 - High quality electronic product launched between 2020-2025.
p30021,iPhone 2020 Model 22,smartphone,iPhone,74237,1041,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 22 - High quality electronic product launched between 2020-2025.
p30022,iPhone 2020 Model 23,smartphone,iPhone,86907,1042,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 23 - High quality electronic product launched between 2020-2025.
p30023,iPhone 2020 Model 24,smartphone,iPhone,11478,1043,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 24 - High quality electronic product launched between 2020-2025.
p30024,iPhone 2020 Model 25,smartphone,iPhone,81563,1044,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 25 - High quality electronic product launched between 2020-2025.
p30025,iPhone 2020 Model 26,smartphone,iPhone,34062,1045,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 26 - High quality electronic product launched between 2020-2025.
p30026,iPhone 2020 Model 27,smartphone,iPhone,101850,1046,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 27 - High quality electronic product launched between 2020-2025.
p30027,iPhone 2020 Model 28,smartphone,iPhone,93181,1047,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 28 - High quality electronic product launched between 2020-2025.
p30028,iPhone 2020 Model 29,smartphone,iPhone,99924,1048,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 29 - High quality electronic product launched between 2020-2025.
p30029,iPhone 2020 Model 30,smartphone,iPhone,79426,1049,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 30 - High quality electronic product launched between 2020-2025.
p30030,iPhone 2020 Model 31,smartphone,iPhone,62987,1050,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 31 - High quality electronic product launched between 2020-2025.
p30031,iPhone 2020 Model 32,smartphone,iPhone,36893,1051,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 32 - High quality electronic product launched between 2020-2025.
p30032,iPhone 2020 Model 33,smartphone,iPhone,66878,1052,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 33 - High quality electronic product launched between 2020-2025.
p30033,iPhone 2020 Model 34,smartphone,iPhone,85236,1053,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 34 - High quality electronic product launched between 2020-2025.
p30034,iPhone 2020 Model 35,smartphone,iPhone,44463,1054,https://source.unsplash.com/featured/?smartphone,iPhone 2020 Model 35 - High quality electronic product launched between 2020-2025.
p30035,iPhone 2021 Model 1,smartphone,iPhone,114093,1055,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 1 - High quality electronic product launched between 2020-2025.
p30036,iPhone 2021 Model 2,smartphone,iPhone,8851,1056,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 2 - High quality electronic product launched between 2020-2025.
p30037,iPhone 2021 Model 3,smartphone,iPhone,107458,1057,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 3 - High quality electronic product launched between 2020-2025.
p30038,iPhone 2021 Model 4,smartphone,iPhone,113620,1058,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 4 - High quality electronic product launched between 2020-2025.
p30039,iPhone 2021 Model 5,smartphone,iPhone,28926,1059,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 5 - High quality electronic product launched between 2020-2025.
p30040,iPhone 2021 Model 6,smartphone,iPhone,99506,1060,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 6 - High quality electronic product launched between 2020-2025.
p30041,iPhone 2021 Model 7,smartphone,iPhone,63392,1061,https://source.unsplash.com/featured/?smartphone,iPhone 2021 Model 7 - High quality electronic product launched between 2020-2025.
