item_id,title,category_id,brand,price,item_code,image_url,description
p001,Pixel 6a,phones,Google,19999,1001,https://via.placeholder.com/200x150.png?text=Pixel+6a,Google Pixel 6a smartphone.
p002,Galaxy A23,phones,Samsung,14999,1002,https://via.placeholder.com/200x150.png?text=Galaxy+A23,Samsung A23 - 4GB RAM, 64GB.
p003,Mi Note 11,phones,Xiaomi,12999,1003,https://via.placeholder.com/200x150.png?text=Mi+Note+11,Xiaomi Note 11 with large battery.
p004,OnePlus Nord CE,phones,OnePlus,17999,1004,https://via.placeholder.com/200x150.png?text=OnePlus+Nord,OnePlus Nord CE suitable for gaming.
p005,Redmi 12C,phones,Xiaomi,8999,1005,https://via.placeholder.com/200x150.png?text=Redmi+12C,Low budget phone with good battery.
p006,Realme Narzo,phones,Realme,10999,1006,https://via.placeholder.com/200x150.png?text=Realme+Narzo,Realme Narzo series phone.
p007,Infinix Hot 30,phones,Infinix,13999,1007,https://via.placeholder.com/200x150.png?text=Infinix+Hot,Infinix Hot 30 with big battery.
p008,Surface Duo,phones,Microsoft,54999,1008,https://via.placeholder.com/200x150.png?text=Surface+Duo,Microsoft Surface Duo foldable.
p009,iPhone SE,phones,Apple,31999,1009,https://via.placeholder.com/200x150.png?text=iPhone+SE,Apple iPhone SE compact phone.
p010,Galaxy S21,phones,Samsung,69999,1010,https://via.placeholder.com/200x150.png?text=Galaxy+S21,Samsung flagship.
p011,Poco M5,phones,Poco,7499,1011,https://via.placeholder.com/200x150.png?text=Poco+M5,Budget phone with good specs.
p012,Motorola G Power,phones,Motorola,11999,1012,https://via.placeholder.com/200x150.png?text=Motorola+G+Power,Long battery life.
p013,Nokia X20,phones,Nokia,15999,1013,https://via.placeholder.com/200x150.png?text=Nokia+X20,Durable Nokia phone.
p014,Asus Zenfone,phones,Asus,22999,1014,https://via.placeholder.com/200x150.png?text=Asus+Zenfone,Great for productivity.
p015,LG Velvet,phones,LG,24999,1015,https://via.placeholder.com/200x150.png?text=LG+Velvet,Sleek design.
p016,HTC Desire,phones,HTC,7999,1016,https://via.placeholder.com/200x150.png?text=HTC+Desire,Lightweight phone.
p017,BlackBerry Key2,phones,BlackBerry,19999,1017,https://via.placeholder.com/200x150.png?text=BlackBerry+Key2,Physical keyboard phone.
p018,Sony Xperia 10,phones,Sony,18999,1018,https://via.placeholder.com/200x150.png?text=Xperia+10,Great media experience.
p019,Google Pixel 5a,phones,Google,28999,1019,https://via.placeholder.com/200x150.png?text=Pixel+5a,Camera-focused Pixel.
p020,Lenovo K12,phones,Lenovo,9999,1020,https://via.placeholder.com/200x150.png?text=Lenovo+K12,Solid budget option.
